utc_timestamp,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,KV
2015-01-01 00:00:00,705.8648648648647,6908.0,1519.0,9094.0,5024.0,7643.0,6064.0,45923.7113,3223.2,793.0,24382.0,9190.0,71134.366,33838.5909,5537.0,1954.0,3966.0,2651.0,25056.0,1039.0,478.0,678.0,492.0,1274.0,11338.0,15471.0,13726.0,5283.0,6180.0,6132.0,14845.0,1194.0,2860.0,1090.1333333333334
2015-01-01 01:00:00,659.8783783783782,6601.0,1423.0,8691.0,4773.0,7394.0,5958.0,44295.8763,3090.7,765.0,22734.0,9072.0,68840.396,33390.5909,5227.0,1818.0,3653.0,2412.0,23342.0,992.0,457.0,645.0,460.0,1191.0,10917.0,15105.0,13036.0,5002.0,5904.0,5773.0,14554.0,1153.0,2728.0,1026.3111111111111
2015-01-01 02:00:00,622.7567567567567,6311.0,1367.0,8354.0,4585.0,7335.0,5879.0,42868.0412,2953.4,750.0,21286.0,8996.0,65749.416,31003.8182,4977.0,1813.0,3406.0,2256.0,21868.0,963.0,445.0,629.0,424.0,1124.0,10473.0,14883.0,12555.0,4632.0,5706.0,5471.0,14267.0,1113.0,2626.0,972.6222222222223
2015-01-01 03:00:00,593.3918918918918,6230.0,1330.0,8080.0,4440.0,7004.0,5828.0,42230.9278,2888.7,746.0,20264.0,9026.0,64041.327,28861.8182,4876.0,1776.0,3324.0,2170.0,20985.0,947.0,438.0,631.0,408.0,1071.0,10200.0,14755.0,12427.0,4348.0,5541.0,5199.0,14224.0,1091.0,2618.0,924.2666666666667
2015-01-01 04:00:00,580.0945945945945,6321.0,1321.0,7965.0,4418.0,7045.0,5731.0,41491.7526,2916.7,755.0,19905.0,9217.0,64209.703,27042.2727,4906.0,1787.0,3334.0,2136.0,20976.0,965.0,436.0,644.0,402.0,1047.0,10182.0,14903.0,12306.0,4178.0,5545.0,5060.0,14370.0,1107.0,2626.0,899.5555555555555
2015-01-01 05:00:00,571.2297297297296,6377.0,1362.0,8005.0,4393.0,6839.0,5669.0,40008.2474,3039.4,771.0,20010.0,9220.0,64437.125,26506.4091,4951.0,1814.0,3399.0,2169.0,21805.0,981.0,435.0,652.0,399.0,1031.0,10317.0,15131.0,12304.0,4084.0,5472.0,4987.0,14780.0,1155.0,2641.0,886.5777777777778
2015-01-01 06:00:00,540.2027027027026,6677.0,1397.0,7749.0,4441.0,6619.0,5601.0,40252.5773,3172.0,788.0,20377.0,9369.0,64785.439,27141.1818,5147.0,1796.0,3449.0,2223.0,22177.0,988.0,449.0,655.0,409.0,975.0,10616.0,15415.0,12181.0,4051.0,5376.0,4944.0,15098.0,1193.0,2622.0,878.9333333333334
2015-01-01 07:00:00,554.608108108108,7035.0,1513.0,7769.0,4637.0,6563.0,5651.0,40949.4845,3282.7,791.0,20094.0,9319.0,64292.057,27663.4545,5723.0,1852.0,3579.0,2234.0,22770.0,1019.0,452.0,657.0,440.0,1001.0,10875.0,15567.0,12114.0,3789.0,5326.0,5163.0,15231.0,1250.0,2691.0,917.8666666666667
2015-01-01 08:00:00,589.5135135135134,7394.0,1631.0,7860.0,4834.0,6812.0,6115.0,43330.9278,3484.8,827.0,20637.0,9375.0,65353.338,28633.8636,6417.0,1957.0,3789.0,2343.0,25248.0,1079.0,452.0,688.0,476.0,1064.0,11225.0,15852.0,12590.0,3981.0,5448.0,5453.0,15453.0,1315.0,2794.0,969.4222222222222
2015-01-01 09:00:00,610.5675675675675,7770.0,1692.0,8092.0,4983.0,6840.0,6481.0,46042.268,3614.1,862.0,22250.0,9534.0,66179.915,31614.8636,7050.0,2119.0,3976.0,2623.0,27811.0,1125.0,468.0,719.0,498.0,1102.0,11768.0,16041.0,13183.0,4382.0,5490.0,5647.0,15856.0,1368.0,2932.0,1003.9111111111112
2015-01-01 10:00:00,632.1756756756755,7820.0,1727.0,8346.0,5020.0,6613.0,6609.0,49177.3196,3780.9,881.0,23547.0,9625.0,66900.586,35078.2727,7265.0,2196.0,4130.0,2901.0,29897.0,1153.0,487.0,742.0,511.0,1141.0,12241.0,16263.0,13769.0,4766.0,5461.0,5779.0,16179.0,1402.0,2998.0,1027.3777777777777
