utc_timestamp,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,KV
2017-01-01 00:00:00,830.0,6828.0,1410.32,9401.0,4579.17,7106.0,6274.0,47541.9184,3292.6,726.2,23393.0,9447.57,72169.0,35395.0,5617.0,1830.0,4032.87,2832.7,25352.0,1031.0,450.08,619.0,436.86,1146.0,11340.0,14785.92,13729.5918,4875.0,5565.0,5775.0,13638.0,1183.0,2960.92,1026.6666666666667
2017-01-01 01:00:00,700.0,6602.0,1337.67,8987.0,4423.49,7184.0,6226.0,45920.7143,3126.8,701.6,21909.0,9279.24,69699.0,34535.5,5330.0,1805.0,3776.54,2616.74,23866.0,992.0,441.72,595.0,405.71,1068.0,10915.0,14637.88,13142.8571,4561.0,5401.0,5409.0,13411.0,1144.0,2871.22,961.6
2017-01-01 02:00:00,610.0,6340.0,1274.69,8615.0,4331.2,7100.0,6137.0,44541.1531,3022.7,684.3,20615.0,9280.29,66467.0,32099.38,5070.0,1865.0,3581.92,2426.58,21966.0,962.0,427.08,582.0,374.75,996.0,10568.0,14441.63,12698.9796,4271.0,5302.0,5080.0,13252.0,1104.0,2834.58,903.1111111111112
2017-01-01 03:00:00,580.0,6313.0,1238.14,8314.0,4286.46,6878.0,6066.0,43515.102,2916.7,681.8,19628.0,9305.8,64286.0,29884.5,4965.0,1819.0,3515.54,2294.97,20948.0,960.0,418.64,585.0,354.24,942.0,10343.0,14392.25,12437.7551,4092.0,5291.0,4844.0,13213.0,1087.0,2831.53,861.1555555555556
2017-01-01 04:00:00,580.0,6432.0,1240.78,8182.0,4281.55,6736.0,6046.0,42476.1633,2889.7,685.8,19252.0,9453.35,63972.0,28382.13,4994.0,1828.0,3556.43,2222.95,20991.0,980.0,418.33,596.0,346.12,913.0,10317.0,14530.01,12427.551,3998.0,5270.0,4628.0,13293.0,1095.0,2839.8,822.7555555555556
2017-01-01 05:00:00,640.0,6435.0,1260.34,8210.0,4353.29,6366.0,6061.0,41107.5918,2867.7,701.7,19351.0,9492.83,63816.0,27821.13,5065.0,1865.0,3643.01,2179.64,21828.0,1003.0,367.97,612.0,351.27,915.0,10433.0,14825.71,12540.8163,3980.0,5255.0,4612.0,13514.0,1137.0,2853.54,819.9111111111112
2017-01-01 06:00:00,770.0,6859.0,1306.4,8062.0,4557.79,6066.0,6072.0,41291.1939,2962.4,726.9,19691.0,9700.94,64142.0,28191.13,5240.0,1847.0,3715.01,2218.39,22121.0,1015.0,376.89,616.0,367.01,910.0,10731.0,14964.23,12407.1429,3849.0,5213.0,4560.0,13822.0,1187.0,2867.4,810.6666666666667
2017-01-01 07:00:00,940.0,7182.0,1431.29,8169.0,4798.58,6490.0,6083.0,42070.9796,3049.2,727.3,19600.0,9742.96,64358.0,28857.13,5731.0,1726.0,3867.32,2264.7,22432.0,1036.0,381.99,615.0,404.72,961.0,11039.0,15253.19,12439.7959,3818.0,5225.0,4736.0,14190.0,1243.0,2932.32,841.9555555555556
2017-01-01 08:00:00,1050.0,7452.0,1541.4,8405.0,4951.31,6656.0,6564.0,44522.1122,3207.0,767.2,20238.0,9849.81,66343.0,30660.38,6311.0,1889.0,4106.87,2276.86,23917.0,1111.0,385.76,648.0,436.56,1031.0,11386.0,15702.31,13089.7959,4171.0,5216.0,4975.0,14505.0,1314.0,3135.07,884.4444444444445
2017-01-01 09:00:00,1100.0,7673.0,1619.23,8704.0,4991.78,6644.0,6853.0,46810.2653,3428.5,806.3,22001.0,10043.1,68083.0,33947.38,6752.0,2005.0,4259.94,2444.33,25454.0,1181.0,405.28,682.0,457.75,1098.0,12014.0,16201.97,13774.4898,4633.0,5174.0,5184.0,15113.0,1390.0,3199.75,921.6
2017-01-01 10:00:00,1090.0,7701.0,1646.43,9007.0,4959.98,6345.0,6913.0,49243.4796,3575.6,826.6,23417.0,10190.43,69505.0,37644.75,6838.0,2052.0,4374.83,2732.61,26674.0,1215.0,430.08,711.0,460.54,1149.0,12531.0,16449.31,14273.4694,5049.0,5174.0,5287.0,15579.0,1390.0,3284.02,939.9111111111112
2017-01-01 11:00:00,1080.0,7493.0,1644.86,9274.0,4825.79,6724.0,6880.0,50048.3469,3633.0,844.1,24064.0,10221.23,71717.0,40508.25,6508.0,2004.0,4417.26,2973.85,27404.0,1226.0,445.68,721.0,453.16,1164.0,12880.0,16569.52,14593.8776,5221.0,5152.0,5287.0,15851.0,1386.0,3253.73,939.9111111111112
