utc_timestamp,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,KV
2016-01-01 00:00:00,632.7297297297296,6406.0,1342.0,8184.0,4547.0,6880.0,5818.0,42768.2041,3144.0,882.4,21632.0,9892.6,55727.0,38615.67,5456.0,1767.0,3974.74,2925.0,24294.0,1088.0,452.05,679.0,427.0,1142.0,11102.0,15128.0,13697.9592,5019.0,5425.0,5633.0,15269.0,1159.0,2793.34,1001.4222222222222
2016-01-01 01:00:00,586.7432432432431,6155.0,1254.0,7765.0,4366.0,6994.0,5725.0,41154.1122,3011.5,854.2,20357.0,9819.33,53080.0,37497.33,5154.0,1650.0,3659.31,2705.0,22594.0,1067.0,434.29,668.0,397.0,1059.0,10657.0,14959.0,13045.9184,4811.0,5235.0,5352.0,14931.0,1107.0,2675.67,951.4666666666667
2016-01-01 02:00:00,540.7567567567567,5850.0,1196.0,7492.0,4259.0,6885.0,5640.0,39961.7143,2889.9,827.9,19152.0,9762.82,50123.0,33274.67,4901.0,1679.0,3434.6,2456.0,21164.0,1064.0,422.89,671.0,370.0,976.0,10238.0,14706.0,12596.9388,3847.0,5124.0,5040.0,14718.0,1066.0,2582.71,896.0
2016-01-01 03:00:00,514.7162162162161,5847.0,1152.0,7354.0,4202.0,6637.0,5583.0,39465.4286,2815.7,821.2,18310.0,9842.91,48578.0,31575.33,4824.0,1628.0,3372.17,2331.0,20307.0,1088.0,414.06,691.0,348.0,929.0,10018.0,14662.0,12402.0408,3725.0,5079.0,4703.0,14629.0,1050.0,2573.13,836.088888888889
2016-01-01 04:00:00,494.77027027027015,5964.0,1160.0,7354.0,4176.0,6590.0,5520.0,38810.6224,2827.8,822.5,18054.0,10030.35,48651.0,31094.67,4867.0,1629.0,3405.3,2233.0,20256.0,1110.0,417.26,708.0,337.0,893.0,10017.0,14879.0,12343.8776,3680.0,5038.0,4560.0,14779.0,1059.0,2563.61,810.6666666666667
2016-01-01 05:00:00,490.33783783783775,6051.0,1198.0,7433.0,4237.0,6376.0,5542.0,37653.0816,2900.5,841.8,18234.0,10066.36,49000.0,32071.67,4942.0,1668.0,3475.9,2211.0,21178.0,1105.0,414.92,713.0,338.0,885.0,10231.0,15056.0,12390.8163,3690.0,4978.0,4494.0,15169.0,1096.0,2573.48,798.9333333333334
2016-01-01 06:00:00,463.1891891891891,6348.0,1221.0,7329.0,4424.0,6236.0,5510.0,38020.1429,2981.2,864.4,18596.0,10271.0,49431.0,33081.0,5148.0,1655.0,3534.22,2241.0,21628.0,1137.0,425.71,725.0,345.0,836.0,10552.0,15350.0,12259.1837,3458.0,4879.0,4495.0,15486.0,1136.0,2559.06,799.1111111111111
2016-01-01 07:00:00,476.4864864864864,6688.0,1332.0,7378.0,4665.0,6288.0,5502.0,38855.1224,3079.2,868.8,18541.0,10306.51,48807.0,34370.67,5644.0,1696.0,3657.05,2263.0,21800.0,1195.0,426.93,754.0,375.0,860.0,10824.0,15787.0,12229.5918,3595.0,4882.0,4674.0,15797.0,1179.0,2650.07,830.9333333333334
2016-01-01 08:00:00,510.83783783783775,7143.0,1447.0,7535.0,4796.0,6419.0,5968.0,41167.3265,3258.4,910.0,18942.0,10384.09,50327.0,37527.33,6228.0,1788.0,3841.11,2293.0,23462.0,1232.0,429.8,791.0,409.0,922.0,11119.0,16117.0,12766.3265,3916.0,4845.0,4986.0,15998.0,1259.0,2759.35,886.4
2016-01-01 09:00:00,544.635135135135,7491.0,1523.0,7803.0,4848.0,6471.0,6319.0,43688.1531,3504.9,947.1,20484.0,10624.17,52136.0,40516.33,6718.0,1919.0,4002.47,2465.0,25146.0,1243.0,449.21,801.0,437.0,983.0,11659.0,16598.0,13335.7143,4393.0,4821.0,5165.0,16522.0,1368.0,2864.28,918.2222222222223
